Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-10-27,20-178,IND,@,SAS,L (-13),0,22:42,1,5,.200,0,3,.000,2,2,1.000,1,2,3,2,2,1,3,2,4,2.5,-1
2,2,2010-10-29,20-180,IND,@,CHA,W (+3),0,21:27,3,6,.500,2,4,.500,0,0,,0,3,3,2,0,1,0,4,8,6.4,-9
3,3,2010-10-30,20-181,IND,,PHI,W (+13),0,20:18,3,6,.500,2,4,.500,0,0,,1,3,4,2,0,0,2,1,8,5.6,-9
4,4,2010-11-03,20-185,IND,@,PHI,L (-26),0,14:42,1,4,.250,0,2,.000,0,0,,0,2,2,1,1,0,1,1,2,0.5,-16
5,5,2010-11-05,20-187,IND,,MIL,L (-4),0,14:15,4,9,.444,2,5,.400,0,0,,0,3,3,0,0,0,0,1,10,5.8,-4
6,6,2010-11-09,20-191,IND,,DEN,W (+31),0,12:59,1,4,.250,1,4,.250,1,2,.500,0,2,2,3,1,0,0,0,4,4.9,+1
7,,2010-11-12,20-194,IND,,HOU,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2010-11-13,20-195,IND,@,CLE,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2010-11-16,20-198,IND,,ATL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7,2010-11-18,20-200,IND,,LAC,W (+27),0,16:19,1,4,.250,0,1,.000,1,1,1.000,1,1,2,3,0,0,1,4,3,1.1,+3
